# Generated at 2024-10-15 11:16:11 (04:00) by AQUARIUS Time-Series 24.1.177.0,,,,,
# UTC-05,,,,,
# Period Selected: Entire Record,,,,,
#,,,,,
# Comment: ,,,,,
# Description: ,,,,,
# ReportTitle: LCCD Little Conestoga Sonde Data May 2023 - July 2024,,,,,
#,,,,,
# CSV data starts at line 12,,,,,
#,,,,,
TimeStamp,Dissolved Oxygen (mg/l),Water Temperature (C),Specific Conductivity (uS/cm),pH,Total Dissolved Solids (mg/l)
5/3/2023 10:34,8.82,11.111,741.9,7.98,482
5/3/2023 10:49,8.85,11.087,741.1,7.98,482
5/3/2023 11:04,8.89,11.064,741.7,7.99,482
5/3/2023 11:19,8.93,11.043,742.6,7.99,483
5/3/2023 11:34,8.97,11.026,743.1,7.99,483
5/3/2023 11:49,9,11.019,744,7.99,484
5/3/2023 12:04,9.06,11.013,743.8,7.99,483
5/3/2023 12:19,9.13,11.013,743.7,8,483
5/3/2023 12:34,9.22,11.026,743.7,8,483
5/3/2023 12:49,9.33,11.047,742.6,8.01,483
5/3/2023 13:04,9.46,11.089,742.9,8.02,483
5/3/2023 13:19,9.59,11.135,742.3,8.03,483
5/3/2023 13:34,9.73,11.195,742.7,8.04,483
5/3/2023 13:49,9.87,11.235,742.9,8.04,483
5/3/2023 14:04,9.99,11.26,742.9,8.05,483
5/3/2023 14:19,10.09,11.304,743.5,8.06,483
5/3/2023 14:34,10.19,11.354,743.8,8.07,483
5/3/2023 14:49,10.29,11.409,744.3,8.07,484
5/3/2023 15:04,10.36,11.416,744.2,8.08,484
5/3/2023 15:19,10.4,11.423,743.9,8.09,484
5/3/2023 15:34,10.4,11.406,743.7,8.09,483
5/3/2023 15:49,10.4,11.38,743.1,8.09,483
5/3/2023 16:04,10.43,11.367,743.1,8.09,483
5/3/2023 16:19,10.46,11.4,743.6,8.1,483
5/3/2023 16:34,10.51,11.43,743.3,8.1,483
5/3/2023 16:49,10.64,11.543,743.4,8.11,483
5/3/2023 17:04,10.74,11.615,742.6,8.12,483
5/3/2023 17:19,10.86,11.696,743.2,8.13,483
5/3/2023 17:34,10.99,11.829,743.8,8.13,483
5/3/2023 17:49,11.1,12.007,743.8,8.14,483
5/3/2023 18:04,11.2,12.168,744.1,8.15,484
5/3/2023 18:19,11.28,12.358,745,8.16,484
5/3/2023 18:34,11.33,12.492,744.7,8.16,484
5/3/2023 18:49,11.3,12.485,744.4,8.17,484
5/3/2023 19:04,11.27,12.503,743.4,8.17,483
5/3/2023 19:19,11.26,12.608,743.3,8.17,483
5/3/2023 19:34,11.31,12.73,743,8.18,483
5/3/2023 19:49,11.27,12.71,742.7,8.18,483
5/3/2023 20:04,11.26,12.802,742.3,8.18,483
5/3/2023 20:19,11.26,12.825,742,8.19,482
5/3/2023 20:34,11.3,12.86,741.3,8.19,482
5/3/2023 20:49,11.31,12.875,741.5,8.2,482
5/3/2023 21:04,11.3,12.885,741.2,8.2,482
5/3/2023 21:19,11.27,12.888,741.8,8.2,482
